  PID  PPID STAT  %CPU %MEM     ELAPSED COMM
  440     1 Ss     0.9  0.0 01-16:48:45 /usr/sbin/coreaudiod
  441     1 Ss     0.4  0.0 01-16:48:45 /usr/libexec/trustd
  442     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/PowerUIAgent
  443     1 Ss     0.0  0.0 01-16:48:45 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd
  446     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/lsd
  447     1 Ss     0.0  0.0 01-16:48:45 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
  448     1 Ss     0.5  0.0 01-16:48:45 /usr/sbin/mDNSResponder
  449     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/nsurlsessiond
  450     1 Ss     0.0  0.0 01-16:48:45 /System/Library/CryptoTokenKit/usbsmartcardreaderd.slotd/Contents/MacOS/usbsmartcardreaderd
  451     1 Ss     0.0  0.0 01-16:48:45 /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Contents/MacOS/com.apple.ifdreader
  452     1 Ss     0.0  0.1 01-16:48:45 /usr/libexec/apfsd
  453     1 Ss     0.0  0.0 01-16:48:45 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
  454     1 Ss     0.1  0.0 01-16:48:45 /usr/libexec/airportd
  455     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/biometrickitd
  456     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/nehelper
  459     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/secinitd
  460     1 Ss     0.0  0.0 01-16:48:45 /usr/libexec/trustdFileHelper
  461     1 S      0.0  0.0 01-16:48:45 /usr/sbin/distnoted
  463     1 Ss     0.0  0.0 01-16:48:45 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  464     1 Ss     0.0  0.0 01-16:48:45 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  470     1 S      0.0  0.0 01-16:48:45 /usr/sbin/distnoted
  472     1 Ss     0.0  0.1 01-16:48:45 /usr/libexec/mobileassetd
